"category","problem","MH","avg_fit","Opt"
"crafted","brock800_3.clq.cnf","EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)",213.92857142857142,"203"
"crafted","brock800_3.clq.cnf","EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)",232.5,"203"
"crafted","brock800_3.clq.cnf","GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)",223.46666666666667,"203"
"crafted","brock800_3.clq.cnf","GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",208.6,"203"
"crafted","brock800_3.clq.cnf","GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)",218.4,"203"
"crafted","brock800_3.clq.cnf","GA pop(70) 2pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",211.26666666666668,"203"
"crafted","brock800_3.clq.cnf","PSO pop(20) linear(3) params(1.0, 1.7, 2.3)",211.4,"203"
"crafted","brock800_3.clq.cnf","PSO pop(50) linear(2) params(0.8, 2.3, 2.9)",220.73333333333332,"203"
"crafted","brock800_3.clq.cnf","PSO pop(50) linear(5) params(1.0, 1.3, 1.9)",212.53333333333333,"203"
"crafted","brock800_3.clq.cnf","PSO pop(50) ring(2) params(1.0, 1.7, 2.3)",222.33333333333334,"203"
"crafted","brock800_4.clq.cnf","EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)",226.5,"200"
"crafted","brock800_4.clq.cnf","EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)",233,"200"
"crafted","brock800_4.clq.cnf","EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)",203.28571428571428,"200"
